[t=  0] SL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  1] TL2, THIS IS SL1: SEIZE OBJ BRAVO. OUT.
[t=  1] SL1, THIS IS TL2: WILCO. OUT.
[t=  2] TL1, THIS IS SL1: SEIZE OBJ ALPHA. OUT.
[t=  2] SL1, THIS IS TL1: WILCO. OUT.
[t=  3] RFN1, THIS IS TL1: SEIZE OBJ ALPHA. OUT.
[t=  3] TL1, THIS IS RFN1: WILCO. OUT.
[t=  4] RFN2, THIS IS TL1: SEIZE OBJ ALPHA. OUT.
[t=  4] TL1, THIS IS RFN2: WILCO. OUT.
[t=  5] RFN3, THIS IS TL2: SEIZE OBJ ALPHA. OUT.
[t=  5] TL2, THIS IS RFN3: WILCO. OUT.
[t=  7] RFN4, THIS IS TL2: SEIZE OBJ ALPHA. OUT.
[t=  7] TL2, THIS IS RFN4: WILCO. OUT.
[t=  8] SL1, THIS IS TL1: SITREP, GRID 0605, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=  9] SL1, THIS IS TL1: SITREP, GRID 0605, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 10] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 18] SL1, THIS IS TL1: SITREP, GRID 0705, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 22] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 28] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 30] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 32] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 34] SL1, THIS IS TL1: SITREP, GRID 0905, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 35] SL1, THIS IS TL1: SITREP, GRID 0905, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 36] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 39] SL1, THIS IS TL1: SITREP, GRID 0905, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 41] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 45] SL1, THIS IS TL2: SITREP, GRID 0604, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 47] SL1, THIS IS TL1: SITREP, GRID 1004, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 48] SL1, THIS IS TL1: SITREP, GRID 1004, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 50] SL1, THIS IS TL1: SITREP, GRID 1004, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 52] SL1, THIS IS TL1: SITREP, GRID 1004, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 56] SL1, THIS IS TL1: SITREP, GRID 1103, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 57] SL1, THIS IS TL1: SITREP, GRID 1103, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 58] SL1, THIS IS TL2: SITREP, GRID 0804, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 59] SL1, THIS IS TL2: SITREP, GRID 0804, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 61] SL1, THIS IS TL1: SITREP, GRID 1103, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 62] SL1, THIS IS TL1: SITREP, GRID 1103, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 63] SL1, THIS IS TL2: SITREP, GRID 0904, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 64] SL1, THIS IS TL2: SITREP, GRID 0904, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 65] SL1, THIS IS TL2: SITREP, GRID 0904, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 66] RFN1 RFN4, THIS IS RFN2: PREPARE TO BOUND ON MY SIGNAL. OUT.
[t= 67] SL1, THIS IS TL2: SITREP, GRID 0904, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 68] SL1, THIS IS TL2: SITREP, GRID 0904, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t= 71] SL1, THIS IS HQ: ENDEX. OUT.
