[t=  0] PL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] PSG1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] SL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN1, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN3, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN4, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] SL2, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL3, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN5, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN6, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] TL4, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN7, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t=  0] RFN8, THIS IS HQ: OPORD — SEIZE OBJ ALPHA. OUT.
[t= 30] PL1, THIS IS PSG1: CONTACT, GRID 1343, 1 x ENEMY. OVER.
[t= 31] HQ, THIS IS PL1: CONTACT, GRID 1342, 2 x ENEMY. OVER.
[t= 54] SL2, THIS IS TL4: CONTACT, GRID 2628, 1 x ENEMY. OVER.
[t= 61] ALL STATIONS: TL4 IS DOWN. OUT.
[t= 61] ALL STATIONS, THIS IS RFN7: TL4 IS DOWN. I AM ASSUMING COMMAND. OUT.
[t= 63] SL1, THIS IS TL2: SITREP, GRID 2041, HEALTH 100%, AMMO 28, IN THE OPEN. OVER.
[t= 63] ALL STATIONS: RFN2 IS DOWN. OUT.
[t= 67] PL1, THIS IS PSG1: SITREP, GRID 3142, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t= 75] TL2, THIS IS RFN3: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t= 76] SL1, THIS IS TL2: SITREP, GRID 2841, HEALTH 100%, AMMO 28, IN COVER. OVER.
[t= 84] RFN7, THIS IS RFN8: SITREP, GRID 3039, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t= 92] SL2, THIS IS TL3: SITREP, GRID 3240, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t= 94] SL2, THIS IS RFN7: SITREP, GRID 3039, HEALTH 100%, AMMO 27, IN COVER. OVER.
[t= 97] TL2, THIS IS RFN3: SITREP, GRID 3239, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t= 99] PL1, THIS IS SL1: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=100] TL3, THIS IS RFN6: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=105] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=106] TL1, THIS IS RFN1: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=108] TL2, THIS IS RFN4: SITREP, GRID 3140, HEALTH 100%, AMMO 30, IN THE OPEN. OVER.
[t=111] TL2, THIS IS RFN3: SITREP, GRID 3039, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=114] RFN7, THIS IS RFN8: SITREP, GRID 3239, HEALTH 100%, AMMO 30, IN COVER. OVER.
[t=125] TL2, THIS IS RFN3: SITREP, GRID 3139, HEALTH 100%, AMMO 29, IN COVER. OVER.
[t=130] SL1, THIS IS TL1: SITREP, GRID 3040, HEALTH 100%, AMMO 29, IN THE OPEN. OVER.
